region,date,confirmed,death,recovered
Andorra,2020-03-24,164,0,0
Andorra,2020-03-25,188,0,0
Andorra,2020-03-26,224,0,0
Andorra,2020-03-27,267,0,0
Andorra,2020-03-28,308,0,0
Andorra,2020-03-29,334,0,0
Angola,2020-01-22,0,0,0
Angola,2020-01-23,0,0,0
Angola,2020-01-24,0,0,0
Angola,2020-01-25,0,0,0
Angola,2020-01-26,0,0,0
Angola,2020-01-27,0,0,0
Angola,2020-01-28,0,0,0
Angola,2020-01-29,0,0,0
Angola,2020-01-30,0,0,0
Angola,2020-01-31,0,0,0
Angola,2020-02-01,0,0,0
Angola,2020-02-02,0,0,0
Angola,2020-02-03,0,0,0
Angola,2020-02-04,0,0,0
Angola,2020-02-05,0,0,0
Angola,2020-02-06,0,0,0
Angola,2020-02-07,0,0,0
Angola,2020-02-08,0,0,0
Angola,2020-02-09,0,0,0
Angola,2020-02-10,0,0,0
Angola,2020-02-11,0,0,0
Angola,2020-02-12,0,0,0
Angola,2020-02-13,0,0,0
Angola,2020-02-14,0,0,0
Angola,2020-02-15,0,0,0
Angola,2020-02-16,0,0,0
Angola,2020-02-17,0,0,0
Angola,2020-02-18,0,0,0
Angola,2020-02-19,0,0,0
Angola,2020-02-20,0,0,0
Angola,2020-02-21,0,0,0
Angola,2020-02-22,0,0,0
Angola,2020-02-23,0,0,0
Angola,2020-02-24,0,0,0
Angola,2020-02-25,0,0,0
Angola,2020-02-26,0,0,0
Angola,2020-02-27,0,0,0
Angola,2020-02-28,0,0,0
Angola,2020-02-29,0,0,0
Angola,2020-03-01,0,0,0
Angola,2020-03-02,0,0,0
Angola,2020-03-03,0,0,0
Angola,2020-03-04,0,0,0
Angola,2020-03-05,0,0,0
Angola,2020-03-06,0,0,0
Angola,2020-03-07,0,0,0
Angola,2020-03-08,0,0,0
Angola,2020-03-09,0,0,0
Angola,2020-03-10,0,0,0
Angola,2020-03-11,0,0,0
Angola,2020-03-12,0,0,0
Angola,2020-03-13,0,0,0
Angola,2020-03-14,0,0,0
Angola,2020-03-15,0,0,0
Angola,2020-03-16,0,0,0
Angola,2020-03-17,0,0,0
Angola,2020-03-18,0,0,0
Angola,2020-03-19,0,0,0
Angola,2020-03-20,1,0,0
Angola,2020-03-21,2,0,0
Angola,2020-03-22,2,0,0
Angola,2020-03-23,3,0,0
Angola,2020-03-24,3,0,0
Angola,2020-03-25,3,0,0
Angola,2020-03-26,4,0,0
Angola,2020-03-27,4,0,0
Angola,2020-03-28,5,0,0
Angola,2020-03-29,7,0,0
AntiguaandBarbuda,2020-01-22,0,0,0
AntiguaandBarbuda,2020-01-23,0,0,0
AntiguaandBarbuda,2020-01-24,0,0,0
AntiguaandBarbuda,2020-01-25,0,0,0
AntiguaandBarbuda,2020-01-26,0,0,0
AntiguaandBarbuda,2020-01-27,0,0,0
AntiguaandBarbuda,2020-01-28,0,0,0
AntiguaandBarbuda,2020-01-29,0,0,0
AntiguaandBarbuda,2020-01-30,0,0,0
AntiguaandBarbuda,2020-01-31,0,0,0
AntiguaandBarbuda,2020-02-01,0,0,0
AntiguaandBarbuda,2020-02-02,0,0,0
AntiguaandBarbuda,2020-02-03,0,0,0
AntiguaandBarbuda,2020-02-04,0,0,0
AntiguaandBarbuda,2020-02-05,0,0,0
AntiguaandBarbuda,2020-02-06,0,0,0
AntiguaandBarbuda,2020-02-07,0,0,0
AntiguaandBarbuda,2020-02-08,0,0,0
AntiguaandBarbuda,2020-02-09,0,0,0
AntiguaandBarbuda,2020-02-10,0,0,0
AntiguaandBarbuda,2020-02-11,0,0,0
AntiguaandBarbuda,2020-02-12,0,0,0
AntiguaandBarbuda,2020-02-13,0,0,0
AntiguaandBarbuda,2020-02-14,0,0,0
AntiguaandBarbuda,2020-02-15,0,0,0
AntiguaandBarbuda,2020-02-16,0,0,0
AntiguaandBarbuda,2020-02-17,0,0,0
AntiguaandBarbuda,2020-02-18,0,0,0
AntiguaandBarbuda,2020-02-19,0,0,0
AntiguaandBarbuda,2020-02-20,0,0,0
AntiguaandBarbuda,2020-02-21,0,0,0
AntiguaandBarbuda,2020-02-22,0,0,0
AntiguaandBarbuda,2020-02-23,0,0,0
AntiguaandBarbuda,2020-02-24,0,0,0
AntiguaandBarbuda,2020-02-25,0,0,0
AntiguaandBarbuda,2020-02-26,0,0,0
AntiguaandBarbuda,2020-02-27,0,0,0
AntiguaandBarbuda,2020-02-28,0,0,0
AntiguaandBarbuda,2020-02-29,0,0,0
AntiguaandBarbuda,2020-03-01,0,0,0
AntiguaandBarbuda,2020-03-02,0,0,0
AntiguaandBarbuda,2020-03-03,0,0,0
AntiguaandBarbuda,2020-03-04,0,0,0
AntiguaandBarbuda,2020-03-05,0,0,0
AntiguaandBarbuda,2020-03-06,0,0,0
AntiguaandBarbuda,2020-03-07,0,0,0
AntiguaandBarbuda,2020-03-08,0,0,0
AntiguaandBarbuda,2020-03-09,0,0,0
AntiguaandBarbuda,2020-03-10,0,0,0
AntiguaandBarbuda,2020-03-11,0,0,0
AntiguaandBarbuda,2020-03-12,0,0,0
AntiguaandBarbuda,2020-03-13,1,0,0
AntiguaandBarbuda,2020-03-14,1,0,0
AntiguaandBarbuda,2020-03-15,1,0,0
AntiguaandBarbuda,2020-03-16,1,0,0
AntiguaandBarbuda,2020-03-17,1,0,0
AntiguaandBarbuda,2020-03-18,1,0,0
AntiguaandBarbuda,2020-03-19,1,0,0
AntiguaandBarbuda,2020-03-20,1,0,0
AntiguaandBarbuda,2020-03-21,1,0,0
AntiguaandBarbuda,2020-03-22,1,0,0
AntiguaandBarbuda,2020-03-23,3,0,0
AntiguaandBarbuda,2020-03-24,3,0,0
AntiguaandBarbuda,2020-03-25,3,0,0
AntiguaandBarbuda,2020-03-26,7,0,0
AntiguaandBarbuda,2020-03-27,7,0,0
AntiguaandBarbuda,2020-03-28,7,0,0
AntiguaandBarbuda,2020-03-29,7,0,0
Argentina,2020-01-22,0,0,0
Argentina,2020-01-23,0,0,0
Argentina,2020-01-24,0,0,0
Argentina,2020-01-25,0,0,0
Argentina,2020-01-26,0,0,0
Argentina,2020-01-27,0,0,0
Argentina,2020-01-28,0,0,0
Argentina,2020-01-29,0,0,0
Argentina,2020-01-30,0,0,0
Argentina,2020-01-31,0,0,0
Argentina,2020-02-01,0,0,0
Argentina,2020-02-02,0,0,0
Argentina,2020-02-03,0,0,0
Argentina,2020-02-04,0,0,0
Argentina,2020-02-05,0,0,0
Argentina,2020-02-06,0,0,0
Argentina,2020-02-07,0,0,0
Argentina,2020-02-08,0,0,0
Argentina,2020-02-09,0,0,0
Argentina,2020-02-10,0,0,0
Argentina,2020-02-11,0,0,0
Argentina,2020-02-12,0,0,0
Argentina,2020-02-13,0,0,0
Argentina,2020-02-14,0,0,0
Argentina,2020-02-15,0,0,0
Argentina,2020-02-16,0,0,0
Argentina,2020-02-17,0,0,0
Argentina,2020-02-18,0,0,0
Argentina,2020-02-19,0,0,0
Argentina,2020-02-20,0,0,0
Argentina,2020-02-21,0,0,0
Argentina,2020-02-22,0,0,0
Argentina,2020-02-23,0,0,0
Argentina,2020-02-24,0,0,0
Argentina,2020-02-25,0,0,0
Argentina,2020-02-26,0,0,0
Argentina,2020-02-27,0,0,0
Argentina,2020-02-28,0,0,0
Argentina,2020-02-29,0,0,0
Argentina,2020-03-01,0,0,0
Argentina,2020-03-02,0,0,0
Argentina,2020-03-03,1,0,0
Argentina,2020-03-04,1,0,0
Argentina,2020-03-05,1,0,0
Argentina,2020-03-06,2,0,0
Argentina,2020-03-07,8,0,0
Argentina,2020-03-08,12,0,0
Argentina,2020-03-09,12,0,0
Argentina,2020-03-10,17,0,0
Argentina,2020-03-11,19,0,0
Argentina,2020-03-12,19,0,0
Argentina,2020-03-13,31,0,0
Argentina,2020-03-14,34,0,0
Argentina,2020-03-15,45,0,0
Argentina,2020-03-16,56,0,0
Argentina,2020-03-17,68,0,0
Argentina,2020-03-18,79,0,0
Argentina,2020-03-19,97,0,0
Argentina,2020-03-20,128,0,0
Argentina,2020-03-21,158,0,0
Argentina,2020-03-22,266,0,0
Argentina,2020-03-23,301,0,0
Argentina,2020-03-24,387,0,0
Argentina,2020-03-25,387,0,0
Argentina,2020-03-26,502,0,0
Argentina,2020-03-27,589,0,0
Argentina,2020-03-28,690,0,0
Argentina,2020-03-29,745,0,0
Armenia,2020-01-22,0,0,0
Armenia,2020-01-23,0,0,0
Armenia,2020-01-24,0,0,0
Armenia,2020-01-25,0,0,0
Armenia,2020-01-26,0,0,0
Armenia,2020-01-27,0,0,0
Armenia,2020-01-28,0,0,0
Armenia,2020-01-29,0,0,0
Armenia,2020-01-30,0,0,0
Armenia,2020-01-31,0,0,0
Armenia,2020-02-01,0,0,0
Armenia,2020-02-02,0,0,0
Armenia,2020-02-03,0,0,0
Armenia,2020-02-04,0,0,0
Armenia,2020-02-05,0,0,0
Armenia,2020-02-06,0,0,0
Armenia,2020-02-07,0,0,0
Armenia,2020-02-08,0,0,0
Armenia,2020-02-09,0,0,0
Armenia,2020-02-10,0,0,0
Armenia,2020-02-11,0,0,0
Armenia,2020-02-12,0,0,0
Armenia,2020-02-13,0,0,0
Armenia,2020-02-14,0,0,0
Armenia,2020-02-15,0,0,0
Armenia,2020-02-16,0,0,0
Armenia,2020-02-17,0,0,0
Armenia,2020-02-18,0,0,0
Armenia,2020-02-19,0,0,0
Armenia,2020-02-20,0,0,0
Armenia,2020-02-21,0,0,0
Armenia,2020-02-22,0,0,0
Armenia,2020-02-23,0,0,0
Armenia,2020-02-24,0,0,0
Armenia,2020-02-25,0,0,0
Armenia,2020-02-26,0,0,0
Armenia,2020-02-27,0,0,0
Armenia,2020-02-28,0,0,0
Armenia,2020-02-29,0,0,0
Armenia,2020-03-01,1,0,0
Armenia,2020-03-02,1,0,0
Armenia,2020-03-03,1,0,0
Armenia,2020-03-04,1,0,0
Armenia,2020-03-05,1,0,0
Armenia,2020-03-06,1,0,0
Armenia,2020-03-07,1,0,0
Armenia,2020-03-08,1,0,0
Armenia,2020-03-09,1,0,0
Armenia,2020-03-10,1,0,0
Armenia,2020-03-11,1,0,0
Armenia,2020-03-12,4,0,0
Armenia,2020-03-13,8,0,0
Armenia,2020-03-14,18,0,0
Armenia,2020-03-15,26,0,0
Armenia,2020-03-16,52,0,0
Armenia,2020-03-17,78,0,0
Armenia,2020-03-18,84,0,0
Armenia,2020-03-19,115,0,0
Armenia,2020-03-20,136,0,0
Armenia,2020-03-21,160,0,0
Armenia,2020-03-22,194,0,0
Armenia,2020-03-23,235,0,0
Armenia,2020-03-24,249,0,0
Armenia,2020-03-25,265,0,0
Armenia,2020-03-26,290,0,0
Armenia,2020-03-27,329,0,0
Armenia,2020-03-28,407,0,0
Armenia,2020-03-29,424,0,0
AustralianCapitalTerritoryAustralia,2020-01-22,0,0,0
AustralianCapitalTerritoryAustralia,2020-01-23,0,0,0
AustralianCapitalTerritoryAustralia,2020-01-24,0,0,0
AustralianCapitalTerritoryAustralia,2020-01-25,0,0,0
AustralianCapitalTerritoryAustralia,2020-01-26,0,0,0
AustralianCapitalTerritoryAustralia,2020-01-27,0,0,0
AustralianCapitalTerritoryAustralia,2020-01-28,0,0,0
AustralianCapitalTerritoryAustralia,2020-01-29,0,0,0
AustralianCapitalTerritoryAustralia,2020-01-30,0,0,0
AustralianCapitalTerritoryAustralia,2020-01-31,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-01,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-02,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-03,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-04,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-05,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-06,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-07,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-08,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-09,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-10,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-11,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-12,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-13,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-14,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-15,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-16,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-17,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-18,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-19,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-20,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-21,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-22,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-23,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-24,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-25,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-26,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-27,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-28,0,0,0
AustralianCapitalTerritoryAustralia,2020-02-29,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-01,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-02,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-03,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-04,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-05,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-06,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-07,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-08,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-09,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-10,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-11,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-12,0,0,0
AustralianCapitalTerritoryAustralia,2020-03-13,1,0,0
AustralianCapitalTerritoryAustralia,2020-03-14,1,0,0
AustralianCapitalTerritoryAustralia,2020-03-15,1,0,0
AustralianCapitalTerritoryAustralia,2020-03-16,2,0,0
AustralianCapitalTerritoryAustralia,2020-03-17,2,0,0
AustralianCapitalTerritoryAustralia,2020-03-18,3,0,0
AustralianCapitalTerritoryAustralia,2020-03-19,4,0,0
AustralianCapitalTerritoryAustralia,2020-03-20,6,0,0
AustralianCapitalTerritoryAustralia,2020-03-21,9,0,0
AustralianCapitalTerritoryAustralia,2020-03-22,19,0,0
AustralianCapitalTerritoryAustralia,2020-03-23,32,0,0
AustralianCapitalTerritoryAustralia,2020-03-24,39,0,0
AustralianCapitalTerritoryAustralia,2020-03-25,39,0,0
AustralianCapitalTerritoryAustralia,2020-03-26,53,0,0
AustralianCapitalTerritoryAustralia,2020-03-27,62,0,0
AustralianCapitalTerritoryAustralia,2020-03-28,71,0,0
AustralianCapitalTerritoryAustralia,2020-03-29,77,0,0
NewSouthWalesAustralia,2020-01-22,0,0,0
NewSouthWalesAustralia,2020-01-23,0,0,0
NewSouthWalesAustralia,2020-01-24,0,0,0
NewSouthWalesAustralia,2020-01-25,0,0,0
NewSouthWalesAustralia,2020-01-26,3,0,0
NewSouthWalesAustralia,2020-01-27,4,0,0
NewSouthWalesAustralia,2020-01-28,4,0,0
NewSouthWalesAustralia,2020-01-29,4,0,0
NewSouthWalesAustralia,2020-01-30,4,0,0
NewSouthWalesAustralia,2020-01-31,4,0,0
NewSouthWalesAustralia,2020-02-01,4,0,0
NewSouthWalesAustralia,2020-02-02,4,0,0
NewSouthWalesAustralia,2020-02-03,4,0,0
NewSouthWalesAustralia,2020-02-04,4,0,0
NewSouthWalesAustralia,2020-02-05,4,0,0
NewSouthWalesAustralia,2020-02-06,4,0,0
NewSouthWalesAustralia,2020-02-07,4,0,0
NewSouthWalesAustralia,2020-02-08,4,0,0
NewSouthWalesAustralia,2020-02-09,4,0,0
NewSouthWalesAustralia,2020-02-10,4,0,0
NewSouthWalesAustralia,2020-02-11,4,0,0
NewSouthWalesAustralia,2020-02-12,4,0,0
NewSouthWalesAustralia,2020-02-13,4,0,0
NewSouthWalesAustralia,2020-02-14,4,0,0
NewSouthWalesAustralia,2020-02-15,4,0,0
NewSouthWalesAustralia,2020-02-16,4,0,0
NewSouthWalesAustralia,2020-02-17,4,0,0
NewSouthWalesAustralia,2020-02-18,4,0,0
NewSouthWalesAustralia,2020-02-19,4,0,0
NewSouthWalesAustralia,2020-02-20,4,0,0
NewSouthWalesAustralia,2020-02-21,4,0,0
NewSouthWalesAustralia,2020-02-22,4,0,0
NewSouthWalesAustralia,2020-02-23,4,0,0
NewSouthWalesAustralia,2020-02-24,4,0,0
NewSouthWalesAustralia,2020-02-25,4,0,0
NewSouthWalesAustralia,2020-02-26,4,0,0
NewSouthWalesAustralia,2020-02-27,4,0,0
NewSouthWalesAustralia,2020-02-28,4,0,0
NewSouthWalesAustralia,2020-02-29,4,0,0
NewSouthWalesAustralia,2020-03-01,6,0,0
NewSouthWalesAustralia,2020-03-02,6,0,0
NewSouthWalesAustralia,2020-03-03,13,0,0
NewSouthWalesAustralia,2020-03-04,22,0,0
NewSouthWalesAustralia,2020-03-05,22,0,0
NewSouthWalesAustralia,2020-03-06,26,0,0
NewSouthWalesAustralia,2020-03-07,28,0,0
NewSouthWalesAustralia,2020-03-08,38,0,0
NewSouthWalesAustralia,2020-03-09,48,0,0
NewSouthWalesAustralia,2020-03-10,55,0,0
NewSouthWalesAustralia,2020-03-11,65,0,0
NewSouthWalesAustralia,2020-03-12,65,0,0
NewSouthWalesAustralia,2020-03-13,92,0,0
NewSouthWalesAustralia,2020-03-14,112,0,0
NewSouthWalesAustralia,2020-03-15,134,0,0
NewSouthWalesAustralia,2020-03-16,171,0,0
NewSouthWalesAustralia,2020-03-17,210,0,0
NewSouthWalesAustralia,2020-03-18,267,0,0
NewSouthWalesAustralia,2020-03-19,307,0,0
NewSouthWalesAustralia,2020-03-20,353,0,0
NewSouthWalesAustralia,2020-03-21,436,0,0
NewSouthWalesAustralia,2020-03-22,669,0,0
